subject,compute_time,total_time
glass, 3.234375, 13.408395100000007
lady, 4.5, 14.715448799999876
answer, 3.0, 11.368164699999852
earth, 2.375, 13.734343300000091
daughter, 3.5625, 16.588543600000094
purpose, 4.078125, 12.403109800000038
responsibility, 2.796875, 14.213888499999939
leader, 2.140625, 12.803135099999963
river, 2.109375, 7.172981600000185
eye, 4.078125, 20.556149500000174
ability, 3.046875, 10.828887099999974
appeal, 2.125, 11.673818100000062
opposition, 0.703125, 6.5536687999999685
campaign, 3.421875, 10.304471899999953
respect, 3.140625, 13.361077499999965
task, 1.578125, 10.381909499999892
instance, 3.5625, 12.215102000000115
sale, 0.78125, 7.720662100000027
whole, 3.53125, 10.853670899999997
officer, 5.65625, 13.694873800000096
method, 3.0625, 10.573674199999914
division, 3.09375, 17.073007199999893
source, 2.984375, 10.958225600000105
piece, 2.90625, 11.873710700000174
pattern, 2.640625, 16.892365000000154
lack, 9.015625, 23.19952639999974
disease, 2.421875, 14.663387899999634
equipment, 1.265625, 14.396981500000038
surface, 1.390625, 6.115940000000137
oxford, 4.328125, 16.916428100000303
demand, 2.515625, 7.736242400000265
post, 6.265625, 19.337613300000157
mouth, 2.734375, 9.998725100000229
radio, 2.125, 7.069797300000118
provision, 1.859375, 14.996876600000178
attempt, 2.5625, 21.21665649999977
sector, 1.75, 15.236222500000167
firm, 4.25, 15.512283300000036
status, 0.875, 8.760143999999855
peace, 2.296875, 18.864532699999927
variety, 2.765625, 12.338411199999882
teacher, 1.015625, 8.887960799999746
show, 3.109375, 14.062009499999931
speaker, 2.046875, 12.552826000000096
baby, 2.3125, 12.103658800000176
arm, 1.828125, 17.454119699999865
base, 1.25, 19.025446300000112
miss, 4.59375, 13.301527500000248
safety, 2.4375, 13.116199600000073
trouble, 2.84375, 12.732308299999659
culture, 4.0, 15.163124300000163
direction, 3.796875, 9.254235399999743
context, 1.21875, 6.897903399999905
character, 3.765625, 17.425863899999968
box, 1.46875, 19.648912899999686
discussion, 3.140625, 11.867116700000224
past, 1.09375, 10.397087399999691
weight, 3.65625, 12.35209309999982
organisation, 4.859375, 12.559108099999776
start, 2.0625, 15.506265400000302
brother, 4.09375, 16.27419090000012
league, 1.40625, 11.671576799999912
condition, 3.796875, 10.756750799999736
machine, 1.546875, 10.2432988999999
argument, 2.0, 8.408967299999858
sex, 1.390625, 9.946564999999737
budget, 3.953125, 19.684044200000244
english, 3.125, 19.164072399999895
transport, 1.40625, 12.668641499999922
share, 4.03125, 13.789522300000044
mum, 1.875, 8.855226600000151
cash, 1.359375, 7.8264751000001525
principle, 1.625, 12.302536000000146
exchange, 1.546875, 15.854692299999897
aid, 1.4375, 9.526906300000064
library, 3.78125, 12.41390309999997
version, 2.609375, 15.432778399999734
rule, 4.109375, 11.144876899999872
tea, 2.078125, 12.935839599999781
balance, 3.734375, 22.525092200000017
afternoon, 3.046875, 10.349107099999856
reference, 5.078125, 19.698220499999934
protection, 1.375, 9.902288300000237
truth, 1.734375, 10.165666800000054
district, 1.375, 9.693997200000013
turn, 3.984375, 21.742314199999782
smith, 2.609375, 11.312858100000085
review, 2.4375, 13.934329100000014
minute, 2.875, 16.25704369999994
duty, 2.15625, 9.023400699999911
survey, 3.921875, 13.204813000000286
presence, 2.796875, 10.488407299999835
influence, 2.421875, 9.072881600000073
stone, 3.1875, 11.748743800000284
dog, 2.21875, 17.62472149999985
benefit, 5.09375, 13.545942299999751
collection, 2.34375, 13.944201299999804
executive, 0.875, 6.376699400000234
speech, 3.375, 12.821226200000183
function, 3.953125, 17.04179350000004
queen, 2.53125, 12.468369600000187
marriage, 4.421875, 17.962483599999814
stock, 1.765625, 19.952583799999957
failure, 3.109375, 14.370410200000151
kitchen, 4.5, 14.913134999999784
student, 2.59375, 10.77195329999995
effort, 4.1875, 10.253881199999796
holiday, 2.8125, 14.946730399999979
career, 3.578125, 12.68936020000001
attack, 2.8125, 14.495254
length, 2.171875, 8.7823594
horse, 2.015625, 11.0501773
progress, 5.390625, 16.269620699999997
plant, 5.109375, 18.399346099999995
visit, 1.0625, 10.638629300000005
relation, 3.5, 24.410067600000005
ball, 3.390625, 14.793339099999997
memory, 4.296875, 14.709566200000012
bar, 1.453125, 7.706502100000009
opinion, 1.21875, 13.655729000000008
quarter, 3.09375, 10.808865700000013
impact, 1.578125, 7.375020599999999
scale, 4.1875, 16.593429499999985
race, 1.53125, 14.233135099999998
image, 1.53125, 13.72533580000001
trust, 3.03125, 12.035829899999982
justice, 3.484375, 12.808333000000005
edge, 1.296875, 11.49042639999999
gas, 3.71875, 20.032682300000033
railway, 1.953125, 7.718878500000017
expression, 4.34375, 16.729310499999997
advantage, 2.8125, 14.761316000000022
gold, 2.78125, 12.492558900000006
wood, 2.421875, 13.942594100000008
network, 1.546875, 17.592636900000002
text, 2.90625, 14.49221
forest, 5.375, 14.183609699999977
sister, 3.953125, 14.76739120000002
chair, 1.21875, 8.09361789999997
cause, 0.828125, 8.952791700000034
foot, 2.328125, 9.675032099999953
rise, 1.46875, 9.682390300000009
half, 3.296875, 14.824411600000019
winter, 3.203125, 12.220458299999962
corner, 3.921875, 12.32456639999998
insurance, 4.25, 17.19332529999997
step, 4.890625, 20.200970499999983
damage, 3.828125, 18.18854680000004
credit, 2.921875, 10.09287889999996
pain, 2.546875, 11.014313300000026
possibility, 1.21875, 9.505049600000007
legislation, 1.21875, 15.4514001
strength, 2.703125, 12.34566730000006
speed, 2.328125, 15.746184900000003
crime, 2.0625, 24.89331070000003
hill, 2.015625, 12.62754050000001
debate, 4.359375, 22.286745699999983
will, 1.25, 10.687226699999997
supply, 4.03125, 13.10027279999997
present, 1.390625, 15.930162500000051
confidence, 2.515625, 8.063004399999954
mary, 2.421875, 34.18602640000006
patient, 2.921875, 9.620406500000058
wind, 4.625, 14.863764400000036
solution, 3.40625, 12.174683900000105
band, 1.546875, 12.219721700000036
museum, 6.921875, 29.313569899999948
farm, 2.9375, 12.217428400000017
pound, 2.890625, 14.602655899999945
henry, 2.828125, 10.361833499999989
